acc,val_acc,type,sigma,lambda,n1,n2,n3,n4,sp1,sp2,sp3,sp4
0.9915317460317462,0.9679365080500405,type1,0.0009,0.003505,695.0,305.0,84.0,80.33333333333333,0.7997640306122449,0.9265111111111111,0.8664333333333333,0.19699999999999998
0.9924761904761904,0.9696984120701986,type1,0.0009,0.003711,690.6666666666666,250.33333333333334,54.0,79.66666666666667,0.8819876700680273,0.9462638888888889,0.889388888888889,0.20933333333333337
0.9894841269841269,0.9667936507785132,type1,0.0009,0.003915999999999999,701.0,288.0,72.33333333333333,81.33333333333333,0.8228709608843537,0.9294916666666667,0.8691333333333334,0.18700000000000003
0.9780000000000001,0.958396825078934,type1,0.0009,0.007821999999999999,700.0,314.3333333333333,35.0,71.33333333333333,0.8990763180272108,0.9549472222222222,0.9246666666666666,0.2876666666666667
0.9621984126984127,0.9459841268781632,type1,0.0009,0.015635,689.6666666666666,308.3333333333333,19.0,65.33333333333333,0.9465029761904762,0.9719305555555556,0.9495555555555555,0.34933333333333333
0.940952380952381,0.9303015868928698,type1,0.0009,0.03126,690.6666666666666,361.6666666666667,15.333333333333334,54.0,0.9625722789115647,0.9717888888888889,0.9569555555555556,0.4663333333333333
0.9024365079365079,0.8958730162136138,type1,0.0009,0.06250900000000001,690.3333333333334,398.3333333333333,6.666666666666667,41.666666666666664,0.8889179421768706,0.9800333333333334,0.980988888888889,0.5836666666666667
0.11144444444444444,0.11144444446715097,type1,0.0009,0.12500899999999998,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.11255555555555556,0.1125555555792082,type1,0.0009,0.25000700000000003,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.11203174603174604,0.11203174605729088,type1,0.0009,0.500005,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.9998015873015874,0.9741746029626756,type1,0.001,0.00021600000000000002,695.3333333333334,400.0,295.3333333333333,93.66666666666667,0.19811118197278912,0.020124999999999987,0.06206666666666668,0.07366666666666666
0.9999603174603173,0.9764761900826106,type1,0.001,0.000421,680.6666666666666,400.0,250.0,88.66666666666667,0.3152795493197279,0.2691194444444444,0.3172888888888889,0.122
0.9999047619047619,0.9773015867187863,type1,0.001,0.000627,689.3333333333334,397.6666666666667,216.66666666666666,89.33333333333333,0.39722363945578226,0.5058083333333333,0.48004444444444444,0.11166666666666665
0.9995476190476191,0.9768095237186976,type1,0.001,0.0008320000000000001,696.3333333333334,386.0,202.66666666666666,88.33333333333333,0.45455782312925175,0.6264055555555555,0.5464555555555556,0.13266666666666668
0.9994365079365078,0.9762698417391097,type1,0.001,0.001038,692.0,374.3333333333333,176.66666666666666,85.33333333333333,0.5471502976190475,0.7192055555555555,0.6295888888888889,0.15900000000000003
0.9987539682539683,0.9758730159638419,type1,0.001,0.0012439999999999999,691.0,373.3333333333333,183.33333333333334,83.66666666666667,0.548329081632653,0.7252472222222223,0.6448666666666666,0.17100000000000004
0.9991111111111111,0.9744761902037121,type1,0.001,0.001449,694.3333333333334,311.6666666666667,126.66666666666667,86.33333333333333,0.6855548469387754,0.8534027777777777,0.7558111111111111,0.15100000000000002
0.9988650793650793,0.9737460318368578,type1,0.001,0.001655,690.3333333333334,299.6666666666667,104.0,83.33333333333333,0.7370365646258503,0.8764194444444445,0.7922666666666668,0.17566666666666667
0.9970793650793651,0.9739047618215046,type1,0.001,0.00186,690.6666666666666,329.3333333333333,133.0,83.0,0.6829485544217686,0.8455333333333334,0.7521888888888889,0.17633333333333337
0.9966111111111111,0.9740000002194965,type1,0.001,0.001963,695.6666666666666,330.0,121.33333333333333,80.66666666666667,0.6926966411564625,0.8632805555555555,0.7766222222222222,0.19466666666666668
0.9967380952380953,0.9730158731142681,type1,0.001,0.002066,691.3333333333334,330.3333333333333,109.66666666666667,81.66666666666667,0.7086203231292517,0.8683861111111112,0.7964666666666668,0.18733333333333335
0.9961746031746032,0.9723809521841624,type1,0.001,0.002271,694.3333333333334,317.3333333333333,97.0,77.0,0.7395822704081633,0.8912416666666667,0.8274333333333334,0.2306666666666667
0.9937380952380952,0.9713650791531516,type1,0.001,0.002477,696.0,313.6666666666667,126.33333333333333,82.33333333333333,0.7227327806122448,0.8782027777777778,0.7797222222222221,0.18033333333333335
0.994785714285714,0.9708253970524621,type1,0.001,0.0026829999999999996,691.3333333333334,308.0,93.33333333333333,77.66666666666667,0.7879283588435375,0.9068138888888888,0.8393,0.2283333333333333
0.9949841269841269,0.9710634919802348,type1,0.001,0.002888,691.3333333333334,303.3333333333333,81.33333333333333,78.33333333333333,0.8101190476190476,0.9250277777777778,0.8677333333333334,0.22299999999999998
0.9939206349206349,0.9705714284351895,type1,0.001,0.003094,696.0,301.6666666666667,73.0,82.66666666666667,0.8197098214285714,0.9217305555555555,0.8616444444444444,0.17466666666666666
0.9916666666666666,0.9710634918591333,type1,0.001,0.0032990000000000003,697.6666666666666,322.6666666666667,78.0,80.0,0.7633195153061224,0.9106250000000001,0.8553777777777777,0.20100000000000004
0.9919841269841271,0.9701904760542371,type1,0.001,0.003505,692.0,310.6666666666667,79.0,80.33333333333333,0.8207684948979592,0.9208250000000001,0.8650333333333334,0.19999999999999998
0.9918015873015872,0.9694126982083398,type1,0.001,0.003711,690.6666666666666,283.3333333333333,69.0,77.0,0.8643930697278912,0.9331583333333334,0.8822555555555556,0.23399999999999999
